Handle,Title,Body (HTML),Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Qty,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / AdWords Grouping,Google Shopping / AdWords Labels,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Variant Image,Variant Weight Unit,Variant Tax Code
screamin-eagle®-ventilator-air-cleaner-kit-milwaukee-eight-29400298,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/29400298.png?v=1507136439,2,,,,,,,,,,,,,,,,,,,,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300768,DEFIANCE VENTILATOR AIR CLEANER TRIM – MILWAUKEE-EIGHT - 61300768,"<p>61300768 - Chrome</p>
<p>This forged and machined Defiance Air Cleaner Trim kit adds a<br>premium touch to the Milwaukee-Eight® Ventilator Air Cleaner.<br>The billet-style band with deep longitudinal lines and H-D logo<br>wraps the center section of the Ventilator Air Cleaner face<br>plate for a contemporary look. The Defiance Air Cleaner Trim<br>is available in your choice of chrome, machine cut anodized<br>black or full black finishes. Kit includes trim band and mounting<br>hardware. Protective Rain Sock P/N 29400177 or 29762-<br>09 is available separately.</p>
<p><br>Fits ’18-later Softail, and ’17-later Touring and Trike models<br>equipped with Ventilator Air Cleaner P/N 29400298 or<br>29400299. Also fits ’18-later Softail models with 114CI engines<br>and ’17-later CVO touring models with Original Equipment<br>Ventilator Air Cleaner with separate purchase of Air Filter P/N<br>29400293</p>",Harley Davidson,Air Cleaner,"chrome, softail18, touring, trike",true,Title,Default Title,,,,,"",2268,,1,deny,manual,114.71,134.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/DEFIANCE-COLLECTION-VENTILATOR-AIR-CLEANER-TRIM-Chrome-61300768.jpg?v=1507137242,1,,false,,,,,,,,,,,,,,,,,lb,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300769,DEFIANCE VENTILATOR AIR CLEANER TRIM – MILWAUKEE-EIGHT - 61300769,"<p>61300769 - Gloss Black</p>
<p>This forged and machined Defiance Air Cleaner Trim kit adds a<br>premium touch to the Milwaukee-Eight® Ventilator Air Cleaner.<br>The billet-style band with deep longitudinal lines and H-D logo<br>wraps the center section of the Ventilator Air Cleaner face<br>plate for a contemporary look. The Defiance Air Cleaner Trim<br>is available in your choice of chrome, machine cut anodized<br>black or full black finishes. Kit includes trim band and mounting<br>hardware. Protective Rain Sock P/N 29400177 or 29762-<br>09 is available separately.</p>
<p><br>Fits ’18-later Softail, and ’17-later Touring and Trike models<br>equipped with Ventilator Air Cleaner P/N 29400298 or<br>29400299. Also fits ’18-later Softail models with 114CI engines<br>and ’17-later CVO touring models with Original Equipment<br>Ventilator Air Cleaner with separate purchase of Air Filter P/N<br>29400293</p>",Harley Davidson,Air Cleaner,"black, softail18, touring, trike",true,Title,Default Title,,,,,'61300769,2268,,1,deny,manual,114.71,134.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300769_-_2_grande_c47cbad5-0601-4da5-a1dc-b21132208b77.png?v=1507137365,1,,false,,,,,,,,,,,,,,,,,lb,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300770,DEFIANCE VENTILATOR AIR CLEANER TRIM – MILWAUKEE-EIGHT - 61300770,"<p>61300770 - Gloss Black with Highlights</p>
<p>This forged and machined Defiance Air Cleaner Trim kit adds a<br>premium touch to the Milwaukee-Eight® Ventilator Air Cleaner.<br>The billet-style band with deep longitudinal lines and H-D logo<br>wraps the center section of the Ventilator Air Cleaner face<br>plate for a contemporary look. The Defiance Air Cleaner Trim<br>is available in your choice of chrome, machine cut anodized<br>black or full black finishes. Kit includes trim band and mounting<br>hardware. Protective Rain Sock P/N 29400177 or 29762-<br>09 is available separately.</p>
<p><br>Fits ’18-later Softail, and ’17-later Touring and Trike models<br>equipped with Ventilator Air Cleaner P/N 29400298 or<br>29400299. Also fits ’18-later Softail models with 114CI engines<br>and ’17-later CVO touring models with Original Equipment<br>Ventilator Air Cleaner with separate purchase of Air Filter P/N<br>29400293</p>",Harley Davidson,Air Cleaner,"black, softail18, touring, trike",true,Title,Default Title,,,,,'61300770,2722,,1,deny,manual,127.46,149.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300770_-_2_grande_1a061b3d-4632-4078-91b7-12ac7e06ebc4.png?v=1507137535,1,,false,,,,,,,,,,,,,,,,,lb,
defiance-ventilator-air-cleaner-trim-milwaukee-eight-61300770,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/61300770_2.PNG?v=1507137669,2,,,,,,,,,,,,,,,,,,,,
screamin-eagle®-wedge-high-flow-air-cleaner-29400246,SCREAMIN’ EAGLE® WEDGE HIGH-FLOW AIR CLEANER - 29400246,"<p>29400246 - Chrome</p>
<p>Screamin’ Eagle® High-Flow Air Cleaner Kits allow free breathing<br>and unobstructed airflow to your Milwaukee-Eight® engine<br>–while maintaining a subtle Original Equipment look. These kits<br>feature a die-cast back plate sized to provide an open-element<br>function that permits airflow around the entire perimeter of<br>the air cleaner and through the ram air opening at the front.<br>Your engine gets more air, and you feel more power throughout<br>the rev range. Kit includes the die-cast back plate, a high-flow<br>oiled-cotton filter element, all required installation gaskets<br>and hardware and a diamond-cut Screamin’ Eagle medallion<br>to finish the look. Kits are available with your choice of chrome<br>or textured black back plate to match your customizing style.<br>50-State U.S. EPA compliant.</p>
<p><br>Fits ’17-later Touring and Trike models. Not compatible with<br>air cleaner cover on CVO™ Touring models. All models require<br>ECM calibration with Screamin’ Eagle Pro Street Tuner for<br>proper installation. ECE compliant on ’17-later CVO Touring models</p>",Harley Davidson,Air Cleaner,"chrome, touring",true,Title,Default Title,,,,,'29400246,2268,,1,deny,manual,157.21,184.94,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400246_TT.jpg?v=1507138110,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-wedge-high-flow-air-cleaner-29400245,SCREAMIN’ EAGLE® WEDGE HIGH-FLOW AIR CLEANER - 29400245,"<p>29400245 - Black</p>
<p>Screamin’ Eagle® High-Flow Air Cleaner Kits allow free breathing<br>and unobstructed airflow to your Milwaukee-Eight® engine<br>–while maintaining a subtle Original Equipment look. These kits<br>feature a die-cast back plate sized to provide an open-element<br>function that permits airflow around the entire perimeter of<br>the air cleaner and through the ram air opening at the front.<br>Your engine gets more air, and you feel more power throughout<br>the rev range. Kit includes the die-cast back plate, a high-flow<br>oiled-cotton filter element, all required installation gaskets<br>and hardware and a diamond-cut Screamin’ Eagle medallion<br>to finish the look. Kits are available with your choice of chrome<br>or textured black back plate to match your customizing style.<br>50-State U.S. EPA compliant.</p>
<p><br>Fits ’17-later Touring and Trike models. Not compatible with<br>air cleaner cover on CVO™ Touring models. All models require<br>ECM calibration with Screamin’ Eagle Pro Street Tuner for<br>proper installation. ECE compliant on ’17-later CVO Touring models</p>",Harley Davidson,Air Cleaner,"black, touring",true,Title,Default Title,,,,,'29400245,2268,,1,deny,manual,148.71,174.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400245_TT.jpg?v=1507138583,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle-air-cleaner-medallion-milwaukee-eight,SCREAMIN’ EAGLE AIR CLEANER MEDALLION – MILWAUKEE-EIGHT - 61300762,"<p>Dress your factory air cleaner cover with a diamond cut<br>Screamin’ Eagle medallion. Lock patch holds the medallion<br>firmly in place and is easy to remove for access to the air<br>cleaner hardware.</p>
<p>Fits ’17-later Touring and Trike models equipped with Original<br>Equipment wedge air cleaner cover. Does not fit CVO models.</p>",Harley Davidson,Air Cleaner,"chrome, cover, touring",true,Title,Default Title,,,,,'61300762,1361,,1,deny,manual,16.96,19.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/61300762-1_2.jpg?v=1507139076,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle-air-cleaner-medallion-milwaukee-eight,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/61300762_3.jpg?v=1507139079,2,,,,,,,,,,,,,,,,,,,,
screamin-eagle®-round-extreme-flow-air-cleaner-29400357,SCREAMIN’ EAGLE® ROUND EXTREME-FLOW AIR CLEANER - 29400357,"<p>29400357- Black</p>
<p>The open-face filter design of the Screamin’ Eagle® Extreme-<br>Flow Air Cleaner Kit provides 60% more filtered surface area<br>to flow 11% more air than a traditional perimeter high-flow<br>filter. When combined with the smooth radius die-cast back<br>plate, this open filter can feed a large displacement engine<br>with an unobstructed flow of clean air. While sized to fit behind<br>Original Equipment or accessory center-bolt air cleaner<br>covers, the deep open-face filter provides maximum air-flow<br>and style when paired with a matching open-face air cleaner<br>trim option. Kit includes the gloss-black finished die-cast<br>back plate, an open-face washable oiled-cotton filter element,<br>and all required installation gaskets and hardware. Optional<br>Rain Sock P/N 29400362 is available to protect the exposed<br>element in inclement weather. 50-State U.S. EPA compliant.</p>
<p>Fits ’18-later Softail® and ’17-later Touring and Trike models.<br>’17-later Touring and Trike models require separate purchase<br>of accessory round air cleaner cover or trim. Not compatible<br>with air cleaner cover on CVO™ Touring models. All models<br>require ECM calibration with Screamin’ Eagle Pro Street<br>Tuner for proper installation.</p>",Harley Davidson,Air Cleaner,"black, round, softail18, touring",true,Title,Default Title,,,,,'29400357,2268,,1,deny,manual,169.96,199.95,true,true,"",https://cdn.shopify.com/s/files/1/2344/7015/products/29400357-2.jpg?v=1507139439,1,,false,,,,,,,,,,,,,,,,,lb,
screamin-eagle®-round-extreme-flow-air-cleaner-29400357,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/2344/7015/products/29400357_TT.jpg?v=1507139443,2,,,,,,,,,,,,,,,,,,,,
